year_received,zipcode,Counts
1985,11210,1
1985,11225,2
1985,11226,1
1985,11237,3
1986,11208,1
1986,11211,3
1986,11213,3
1986,11226,4
1986,11230,6
1987,10029,1
1987,10033,1
1987,10461,1
1987,11211,1
1987,11225,7
1987,11226,8
1987,11365,2
1987,11372,1
1988,10003,1
1988,10029,5
1988,10467,3
1988,11103,5
1988,11201,1
1988,11211,7
1988,11216,1
1988,11221,3
1988,11225,2
1988,11226,2
1988,11372,2
1989,10457,1
1989,10466,2
1989,11211,2
1989,11220,8
1989,11222,16
1989,11224,6
1989,11225,4
1989,11230,9
1989,11365,1
1990,10003,1
1990,10033,2
1990,10451,2
1990,10452,1
1990,10457,1
1990,10465,2
1990,10467,2
1990,11208,16
1990,11211,7
1990,11213,3
1990,11220,7
1990,11230,8
1991,10003,1
1991,10024,2
1991,10033,1
1991,10065,2
1991,10452,3
1991,10465,3
1991,10467,8
1991,11201,3
1991,11211,4
1991,11220,25
1991,11225,1
1991,11230,1
1991,11373,2
1992,10013,3
1992,10024,2
1992,10030,2
1992,10033,4
1992,10065,2
1992,10306,5
1992,10452,1
1992,10473,1
1992,11103,1
1992,11211,13
1992,11213,3
1992,11216,2
1992,11217,1
1992,11220,2
1992,11221,2
1992,11223,1
1992,11225,11
1992,11230,20
1992,11237,5
1992,11365,1
1992,11373,2
1992,11418,1
1993,10002,1
1993,10003,1
1993,10024,4
1993,10025,1
1993,10029,1
1993,10030,1
1993,10035,2
1993,10452,1
1993,10457,1
1993,10467,2
1993,10473,2
1993,11208,1
1993,11213,2
1993,11217,2
1993,11220,6
1993,11225,3
1993,11226,5
1993,11230,13
1993,11237,2
1993,11417,8
1994,10003,1
1994,10024,4
1994,10030,9
1994,10033,1
1994,10301,1
1994,10452,19
1994,10457,7
1994,10459,12
1994,10465,3
1994,10466,1
1994,11101,2
1994,11103,1
1994,11204,2
1994,11205,2
1994,11208,11
1994,11210,2
1994,11211,1
1994,11212,4
1994,11213,3
1994,11216,3
1994,11217,4
1994,11220,4
1994,11223,1
1994,11224,2
1994,11225,10
1994,11230,4
1994,11231,3
1994,11373,18
1994,11417,6
1994,11418,3
1994,11432,23
1994,11434,6
1995,10002,5
1995,10011,1
1995,10014,1
1995,10024,5
1995,10029,1
1995,10030,4
1995,10031,2
